Listing,Model,Platform,Carrier,Color,Storage,ListDate,ExpiredDate,SaleDate,Views,Quantity,Price,Condition,Title,Description,Damage,Sold
LUJY89875,Apple iPhone Xs,iOS,AT&T,Gold,256 GB,"Sep 15, 2020","Sep 25, 2020",,13,1,515,Mint,,"
Battery Health: 93%Cosmetics: This device is in excellent cosmetic condition. No signs of use on the enclosure or display.Carriers: This device only works on the AT&T Network (Cricket, Net10, Etc.)Includes: A generic charger
USPS Standard 3-5 day: FreePriority Mail Express: $25
RETURNS
We offer 30 days return policy. No returns or exchanges after 30 days of purchase.
The item must be in the same condition and in original packaging.
A 15% restocking fee will be charged on non-defective items and 3% fee for refunds issued due to incorrect address
Refund will be issued within 2 business days after the device is received
SHIPPING
We ship your product in 1 business day, with standard USPS shipping with tracking and insurance. We are not responsible for any delays caused by the carrier
",,
LUJU25296,Apple iPhone Xs,iOS,AT&T,Silver,256 GB,"Sep 11, 2020","Sep 21, 2020",,23,1,515,Fair,,"
The phone will come with the original box and brand new accessories. I am also including a few cases: Incipio Card Case, Speck grip case, and black apple leather case.  I have the monthly applecare plan and its covered until October 2nd, 2020.  The phone is unlocked.
","
Small scratches on the screen, sides, and back. I tried to get close up pictures. Normal wear and tear over about a year. The phone and functions great. The battery health is at 90%.
",
LUJS17631,Apple iPhone Xs,iOS,AT&T,Gold,64 GB,"Sep 09, 2020","Sep 19, 2020",,12,1,541,Mint,,"
Gold iPhone Xs. Gorgeous mint condition. Never without case or screen protector. Will include clear/gold sparkle Speck case for free if you wish.
",,
LRVD02973,Apple iPhone Xs,iOS,AT&T,Gray,64 GB,"Jul 04, 2019",,,391,1,549,New,,"
This item is new with accessories (charging cable, headphones, charging cube) See pictures. This item does NOT include its SIM Card. Device will be shipped out within 1 business day. Devices are generally delivered within 3-5 business days after shipping.
We offer a 30-day money back guarantee on all our devices.
*Device does not include a sim card*
--If you purchase a phone or tablet without a box from us: these devices are sold by themselves (handset only, without accessories). There are no chargers, SIM card ejectors, headphones or otherwise with the devices.--If you purchase a new device: the device will come with a box, USB cable, wall adapter, and other accessories if mentioned specifically in the description. --If you purchase a smartwatch: the watch and charger will be included--All devices come without SIM cards.
We use standard images (taken in-house!) on our listings which are general representations of condition. Please refer to Swappa's grading policies for further details.
The Cellular Resource is a business seller. We are open Monday - Friday from 10am - 6pm EST. We are not open on Saturday or Sunday. Your questions are important to us! We respond to customer inquiries in the order that they are received as soon as we can. We look forward to getting you a device quickly!
",,
LUJY82775,Apple iPhone Xs,iOS,AT&T,Gray,256 GB,"Sep 14, 2020",,"Sep 16, 2020",10,1,486,Good,,"
I used it for about a year. No issues whatsoever, just switched to Verizon from AT&T and upgraded.
","
My old phone. Gently used, cant go wrong with iPhone.
",Yes
LUJM26760,Apple iPhone Xs,iOS,AT&T,Gray,256 GB,"Sep 03, 2020",,"Sep 15, 2020",15,1,580,Mint,,"
Phone tested 100% fully functional.
Phone is for AT&T with battery health of 98%
Cosmetic condition of the phone is excellent. Screen looks amazing!
Phone has all original parts and screen was never replaced!
Comes with phone only.Does not include charger or SIM Card.
We are a corporate seller with thousands of positive reviews on Swappa!
Buy with confidence and we accept returns from 14 days after purchase. We will give a 100% refund if the item is defective or not as described.
No waiting, we always ship the next business day!
Shipping & Handling:Orders will ship to the address provided to PayPal during checkout. Due to a recent PayPal policy change order cancellation will result in a non-refundable PayPal fee charge of 2.9%+$0.30
Returns:Buyer will pay for return shipping. Unwanted / Order by mistake will access a 20% restocking fee + initial shipping cost.
",,Yes
LRVS81174,Apple iPhone Xs Max,iOS,AT&T,Gold,64 GB,"Jul 19, 2019",,,386,3,618,Mint,,"
Apple iPhone XS Max 64 GB A1921 for AT&T - Gold. Phone has been tested by our team to ensure it is 100% fully functional and works perfectly. Beautiful condition. ESN checked and is clean and ready for activation. No SIM card included. Listing does include a wall charger, USB cable, and our 60 day warranty.
Overall mint condition - perfect screen, light use if any on back/edges. Gift worthy. The pictures are stock pictures to give you an idea of what you may expect.
This is great for someone who wants a deal on a perfectly working phone in amazing condition. We ship SAME or next business day for FREE (same day if ordered before 2 PM Eastern). Item will be packaged securely and sent with tracking.
ESN Verified and guaranteed clean and ready to activate. No SIM card included.Ships with USB Cable, Wall Charger, and 60 day warranty.
",,
LUJW78535,Apple iPhone Xs Max,iOS,AT&T,Gray,256 GB,"Sep 13, 2020","Sep 23, 2020",,15,1,580,Good,,"
Iphone xs max in awesome condition no scratches on screen or body except one spot, screen protector was used since bought. One imperfection is the top corner looks like the color was scrapped off, its very small see pictures. 256gb space grey
","
One small scuff on top cornerSee pictures
",
LUJY32271,Apple iPhone Xs Max,iOS,AT&T,Gray,64 GB,"Sep 14, 2020",,"Sep 15, 2020",10,1,465,Good,,"
I have an excellent condition iPhone XS Max. I recently got the 11 pro max and no longer need this phone.
","
Teeny tiny little knick on bottom back of phone. Barely noticeable.
",Yes
LUIC63982,Apple iPhone Xs Max,iOS,AT&T,Silver,64 GB,"Jul 29, 2020",,"Sep 14, 2020",348,1,530,Good,,"
ios 13.3.1battery percentage 100%fully functionalphones screen has signs of useUNLOCKED FOR ANY COMPANY
","
screen has signs of use
",Yes
LUJY61649,Apple iPhone X,iOS,AT&T,Silver,256 GB,"Sep 15, 2020","Sep 25, 2020",,11,1,400,Good,,"
Device in on iOS 14, tempered glass screen protector installed, includes charger block and cable, a Nimbus9 case, and a Spigen case.
","
Very good condition, minor signs of use on frame.
",
LUJH72533,Apple iPhone X,iOS,AT&T,Gray,256 GB,"Aug 29, 2020",,"Sep 20, 2020",99,1,380,Good,Apple iPhone X Good Condition,"Good condition, Kept in case during ownership. Two small stretches on screen, hard to notice I tried to show in the photo.","Good condition, Kept in case during ownership. Two small stretches on screen, hard to notice I tried to show in the photo.",Yes
LUJT98945,Apple iPhone X,iOS,AT&T,Silver,64 GB,"Sep 10, 2020","Sep 20, 2020",,32,1,550,New,,"
Apple iPhone X 64GB New Silver LTE Cellular Unlocked Worldwide/AT&T/T-Mobile. Condition is New. Shipped with USPS Priority mail . Brand New phone with original box and includes all apple accessories. Apple 1 year warranty once phone activated.
",,
